item_id,name,rarity,type,appearance_date
CID_029_Athena_Commando_F_Halloween,Ghoul Trooper,epic,outfit,2017-10-30 00:00:00+00:00
Glider_FlowerPOwer,Petunia,uncommon,glider,2017-10-30 00:00:00+00:00
CID_030_Athena_Commando_M_Halloween,Skull Trooper ,epic,outfit,2017-10-30 00:00:00+00:00
CID_011_Athena_Commando_M,Scout,uncommon,outfit,2017-10-30 00:00:00+00:00
CID_025_Athena_Commando_M,First strike Specialist,rare,outfit,2017-10-30 00:00:00+00:00
CID_022_Athena_Commando_F,Recon Expert,rare,outfit,2017-10-30 00:00:00+00:00
CID_015_Athena_Commando_F,Assault Trooper,uncommon,outfit,2017-10-31 00:00:00+00:00
CID_012_Athena_Commando_M,Trooper,uncommon,outfit,2017-10-31 00:00:00+00:00
CID_030_Athena_Commando_M_Halloween,Skull Trooper ,epic,outfit,2017-10-31 00:00:00+00:00
CID_010_Athena_Commando_M,Ranger,uncommon,outfit,2017-10-31 00:00:00+00:00
CID_029_Athena_Commando_F_Halloween,Ghoul Trooper,epic,outfit,2017-10-31 00:00:00+00:00
HalloweenScythe,Reaper,rare,pickaxe,2017-10-31 00:00:00+00:00
CID_009_Athena_Commando_M,Tracker,uncommon,outfit,2017-11-01 00:00:00+00:00
CID_029_Athena_Commando_F_Halloween,Ghoul Trooper,epic,outfit,2017-11-01 00:00:00+00:00
CID_025_Athena_Commando_M,First strike Specialist,rare,outfit,2017-11-01 00:00:00+00:00
CID_030_Athena_Commando_M_Halloween,Skull Trooper ,epic,outfit,2017-11-01 00:00:00+00:00
CID_020_Athena_Commando_M,Special Forces,rare,outfit,2017-11-01 00:00:00+00:00
HalloweenScythe,Reaper,rare,pickaxe,2017-11-01 00:00:00+00:00
CID_029_Athena_Commando_F_Halloween,Ghoul Trooper,epic,outfit,2017-11-02 00:00:00+00:00
CID_025_Athena_Commando_M,First strike Specialist,rare,outfit,2017-11-02 00:00:00+00:00
Glider_Stealth,Stealth,uncommon,glider,2017-11-02 00:00:00+00:00
HappyPickaxe,Lucky,uncommon,pickaxe,2017-11-02 00:00:00+00:00
CID_030_Athena_Commando_M_Halloween,Skull Trooper ,epic,outfit,2017-11-02 00:00:00+00:00
CID_014_Athena_Commando_F,Pathfinder ,uncommon,outfit,2017-11-02 00:00:00+00:00
CID_021_Athena_Commando_F,Brawler,rare,outfit,2017-11-03 00:00:00+00:00
CID_020_Athena_Commando_M,Special Forces,rare,outfit,2017-11-03 00:00:00+00:00
CID_018_Athena_Commando_M,Recon Scout,rare,outfit,2017-11-03 00:00:00+00:00
Glider_Stealth,Stealth,uncommon,glider,2017-11-03 00:00:00+00:00
CID_030_Athena_Commando_M_Halloween,Skull Trooper ,epic,outfit,2017-11-03 00:00:00+00:00
CID_029_Athena_Commando_F_Halloween,Ghoul Trooper,epic,outfit,2017-11-03 00:00:00+00:00
SkiIcePickaxe,Cliffhanger,rare,pickaxe,2017-11-04 00:00:00+00:00
CID_029_Athena_Commando_F_Halloween,Ghoul Trooper,epic,outfit,2017-11-04 00:00:00+00:00
CID_012_Athena_Commando_M,Trooper,uncommon,outfit,2017-11-04 00:00:00+00:00
Glider_Stealth,Stealth,uncommon,glider,2017-11-04 00:00:00+00:00
CID_020_Athena_Commando_M,Special Forces,rare,outfit,2017-11-04 00:00:00+00:00
CID_030_Athena_Commando_M_Halloween,Skull Trooper ,epic,outfit,2017-11-04 00:00:00+00:00
CID_025_Athena_Commando_M,First strike Specialist,rare,outfit,2017-11-05 00:00:00+00:00
CID_027_Athena_Commando_F,Survival Specialist,rare,outfit,2017-11-05 00:00:00+00:00
CID_026_Athena_Commando_M,Desperado,rare,outfit,2017-11-05 00:00:00+00:00
CID_013_Athena_Commando_F,Renegade,uncommon,outfit,2017-11-05 00:00:00+00:00
Glider_RoadTrip,Roadtrip,uncommon,glider,2017-11-05 00:00:00+00:00
Pickaxe_Flamingo,Pink Flamingo,epic,pickaxe,2017-11-05 00:00:00+00:00
Glider_MiG,Raptor,uncommon,glider,2017-11-06 00:00:00+00:00
Pickaxe_Flamingo,Pink Flamingo,epic,pickaxe,2017-11-06 00:00:00+00:00
CID_021_Athena_Commando_F,Brawler,rare,outfit,2017-11-06 00:00:00+00:00
SkiIcePickaxe,Cliffhanger,rare,pickaxe,2017-11-06 00:00:00+00:00
CID_025_Athena_Commando_M,First strike Specialist,rare,outfit,2017-11-06 00:00:00+00:00
